Generator,Generator type,Region,ISP sub-region,REZ location,Fuel/technology type,Maximum capacity (MW),Summer rating (MW),Summer typical rating (MW),Winter rating (MW),Maintenance duration (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary load (%),SRMC ($/MWh),Expected retirement year
Hughenden Solar Farm,Large scale Solar PV,QLD,NQ,North Qld Clean Energy Hub,Solar,21,21,21,21,0.00,18.18,0.00,0.00,0.00,0.00,0.92,0.02,0,2048
Kennedy Energy Park Solar Farm,Large scale Solar PV,QLD,NQ,North Qld Clean Energy Hub,Solar,15,14,15,15,0.00,18.18,0.00,0.00,0.00,0.00,0.97,0.02,0,2046
Kidston Solar Farm,Large scale Solar PV,QLD,NQ,North Qld Clean Energy Hub,Solar,50,49,49,49,0.00,18.18,0.00,0.00,0.00,0.00,0.92,0.02,0,2037
Lilyvale Solar Farm,Large scale Solar PV,QLD,CQ,Isaac,Solar,118,98,99,100,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2048
Longreach Solar Farm,Large scale Solar PV,QLD,CQ,Barcaldine,Solar,14,14,14,14,0.00,18.18,0.00,0.00,0.00,0.00,0.92,0.02,0,2043
Maryrorough Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,35,27,27,27,0.00,18.18,0.00,0.00,0.00,0.00,0.99,0.02,0,2048
Middlemount Solar Farm,Large scale Solar PV,QLD,CQ,Isaac,Solar,26,26,26,26,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2050
Moura Solar Farm,Large scale Solar PV,QLD,CQ,Fitzroy,Solar,99,82,82,82,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2057
Oakey 1 Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,25,23,24,25,0.00,18.18,0.00,0.00,0.00,0.00,0.99,0.02,0,2043
Oakey 2 Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,56,52,53,55,0.00,18.18,0.00,0.00,0.00,0.00,0.99,0.02,0,2049
